YMD	YMDT	DPS	AREA	TYPE_OCCUR	TYPE_CAUSE	TYPE_SHIP	WEATHER	POS	COUNT	RESCUE	INJURY	DEATH	DISAPPER	위도_도	위도_분	위도_초	경도_도	경도_분	경도_초	LAT	LON	LAT_DBC	LON_DBC
20140101	20140101 8:50	울산	영해-EEZ	기관손상	정비불량	어선	양호	정자 동방 25해리	1	5	0	0	0	35	37	0	129	57	0	35.61667	129.95000	35|37|00	129|57|00
20140101	20140101 8:53	속초	영해	기타	기타	어선	풍랑주의보	강릉시 주문진읍 주문진 동방 8마일 해상	1	3	1	0	0	37	53	0	129	0	0	37.88333	129.00000	37|53|00	129|00|00
20140101	20140101 11:55	제주	영해	인명사상	기타	어선	황천5급	추자 신양항 동방 0.3마일 해상	1	10	1	0	0	33	56	0	126	20	20	33.93333	126.33889	33|56|00	126|20|20
20140101	20140101 15:00	부산	외국해역	기관손상	정비불량	어선	양호	대마도 동방 17마일 해상	1	10	0	0	0	34	28	0	129	46	0	34.46667	129.76667	34|28|00	129|46|00
20140102	20140102 0:00	속초	항계내	화재	화기취급부주의	여객선	양호	속초항 신부두	1	0	0	0	0	39	30	0	134	40	0	39.50000	134.66667	39|30|00	134|40|00
20140103	20140103 9:53	통영	영해	침수	정비불량	어선	양호	사천시 신수도 남방 0.6마일 해상	1	2	0	0	0	34	52	49	128	4	46	34.88028	128.07944	34|52|49	128|04|46
20140103	20140103 20:00	여수	항계내	해양오염	기타	유조선	양호	전남 여수시 돌산읍 우두리 해경전용부두	1	1	0	0	0	34	44	5	127	46	2	34.73472	127.76722	34|44|05	127|46|02
20140104	20140104 7:10	인천	항계내	운항저해	운항부주의	예부선	양호	인천광역시 옹진군 영흥면 선재리 넛출선착장	1	8	0	0	0	37	15	10	126	30	40	37.25278	126.51111	37|15|10	126|30|40
20140104	20140104 10:00	포항	영해	운항저해	운항부주의	기타	태풍주의보	사동항 방파제 50m해상	1	8	0	0	0	36	43	29	129	28	33	36.72472	129.47583	36|43|29	129|28|33
20140104	20140104 10:00	포항	항계내	접촉	운항부주의	화물선	양호	포항 구항 송도 부두(시멘트 부두)	1	15	0	0	0	36	2	40	129	22	40	36.04444	129.37778	36|2|40	129|22|40
20140104	20140104 10:00	완도	영해	충돌	운항부주의	어선	양호	완도군 노화읍 노록도 북방 0.5해리	2	1	0	1	0	34	12	38	126	32	37	34.21056	126.54361	34|12|38	126|32|37
20140104	20140104 17:06	제주	영해	기관손상	정비불량	어선	황천5급	여서도 남서방 7해리(33-51N 126-49E)	1	4	0	0	0	33	51	0	126	49	0	33.85000	126.81667	33|51|00	126|49|00
20140104	20140104 19:00	여수	영해-EEZ	기관손상	정비불량	어선	저시정	남해상	1	0	0	0	0	34	12	41	127	43	9	34.21139	127.71917	34|12|41	127|43|09
20140105	20140105 2:20	제주	영해	기관손상	정비불량	어선	황천5급	사수도 남동방 0.6해리	1	8	0	0	0	33	54	39	126	38	52	33.91083	126.64778	33|54|39	126|38|52
20140105	20140105 3:16	부산	항계내	침몰	운항부주의	어선	양호	부산 다대항 입구	1	2	0	0	0	35	2	29	128	58	20	35.04139	128.97222	35|02|29	128|58|20
20140105	20140105 8:20	서귀포	영해-EEZ	안전저해	운항부주의	어선	양호	마라도 남서방 17해리(32-49N 126-9E)	1	12	0	0	0	32	49	0	126	9	0	32.81667	126.15000	32|49|00	126|09|00
20140105	20140105 13:05	인천	항계내	접촉	관리소홀	예부선	양호	인천광역시 중구 연안부두 남항 한일대우시멘트 부두	2	2	0	0	0	37	26	3	126	36	45	37.43417	126.61250	37|26|03	126|36|45
20140106	20140106 13:42	부산	항계내	해양오염	기타	유조선	양호	부산항 5부두 인근 해상	1	0	0	0	0	35	7	19	129	2	57	35.12194	129.04917	35|07|19	129|02|57
20140107	20140107 0:10	군산	항계내	화재	화기취급부주의	어선	양호	전북 군산시 비응도항내	1	3	3	0	0	35	56	35	126	32	4	35.94306	126.53444	35|56|35	126|32|04
20140107	20140107 4:10	부산	영해	충돌	운항부주의	어선	양호	부산 생도 남동방 5.46마일	2	3	0	0	0	34	56	50	129	6	40	34.94722	129.11111	34|56|50	129|06|40
20140107	20140107 6:30	평택	항계내	충돌	운항부주의	예부선	양호	경기 화성시 우정읍 입파도 정박지	2	18	0	0	0	37	9	12	126	30	24	37.15333	126.50667	37|09|12	126|30|24
20140107	20140107 11:30	통영	영해	인명사상	기타	어선	양호	통영시 욕지도 북서방 1.3 해리 해상	1	10	0	1	0	34	39	50	128	12	36	34.66389	128.21000	34|39|50	128|12|36
20140108	20140108 5:04	통영	영해	충돌	운항부주의	어선	양호	통영시 도남동 마리나리조트 앞 100m 해상	2	5	0	0	0	34	49	49	128	26	26	34.83028	128.44056	34|49|49	128|26|26
20140108	20140108 9:50	울산	항계내	해양오염	관리소홀	화물선	양호	울산항 7부두	1	5	0	0	0	35	30	30	129	23	15	35.50833	129.38750	35|30|30	129|23|15
20140108	20140108 10:50	통영	영해	충돌	운항부주의	어선	양호	거제시 이수도 남서방 700m 해상	2	4	1	0	0	34	57	46	128	43	34	34.96278	128.72611	34|57|46	128|43|34
20140108	20140108 13:00	평택	항계내	안전저해	운항부주의	요트	양호	경기 화성시 서신면 제부도 0.5해리 해상	1	3	0	0	0	37	10	30	126	37	34	37.17500	126.62611	37|10|30	126|37|34
20140108	20140108 14:08	태안	영해	인명사상	기타	어선	양호	충남 보령시 대천항 남서방 6해리	1	2	0	1	0	36	14	75	126	24	85	36.25417	126.42361	36|14|75	126|24|85
20140108	20140108 14:16	포항	영해	안전저해	운항부주의	어선	양호	후포동방 28해리	1	7	0	0	0	36	41	0	130	3	0	36.68333	130.05000	36|41|00	130|03|00
20140108	20140108 18:44	울산	영해-EEZ	기관손상	정비불량	어선	황천5급	범월갑동방 31해리	1	9	0	0	0	35	26	0	130	1	0	35.43333	130.01667	35|26|00	130|01|00
20140109	20140109 16:30	완도	영해	충돌	운항부주의	화물선	저시정	완도항 화물선 3부두	2	21	0	0	0	34	19	5	126	45	51	34.31806	126.76417	34|19|05	126|45|51
20140110	20140110 6:00	서귀포	영해-EEZ	인명사상	기타	어선	양호	서귀포시 대정읍 마라도 남서방 23해리(32-48N 125-58E)	1	0	1	1	0	32	48	0	125	58	0	32.80000	125.96667	32|48|00	125|58|00
20140110	20140110 13:28	통영	항계내	해양오염	기타	어선	양호	경남 거제시 장승포동 장승포 항 내 파플소 앞 해상	1	0	0	0	0	128	44	7	34	52	0	128.73528	34.86667	128|44|07	34|52|00
20140110	20140110 20:12	포항	영해	기관손상	정비불량	어선	양호	구계동방 52해리	1	2	0	0	0	36	18	0	130	27	0	36.30000	130.45000	36|18|00	130|27|00
20140111	20140111 2:40	부산	외국해역	충돌	운항부주의	화물선	양호	한일어업협정 중간선(일본내측 약 1.1해리)	2	45	0	0	0	34	40	0	129	5	0	34.66667	129.08333	34|40|00	129|05|00
20140111	20140111 6:04	평택	협수로	운항저해	정비불량	어선	양호	인천 옹진군 덕적면 소재 울도 앞 0.1해리 해상	1	3	0	0	0	37	1	27	126	0	52	37.02417	126.01444	37|01|27	126|00|52
20140111	20140111 7:00	서귀포	영해-EEZ	인명사상	기타	어선	양호	마라도 남서방 23해리(32-49N, 125-58E)	1	1	1	0	0	32	49	0	125	58	0	32.81667	125.96667	32|49|00	125|58|00
20140111	20140111 7:13	속초	영해	기관손상	정비불량	어선	양호	속초항 입구	1	2	0	0	0	38	12	21	128	36	23	38.20583	128.60639	38|12|21	128|36|23
20140111	20140111 8:00	제주	영해	인명사상	기타	어선	양호	화도부근 해상	1	4	1	0	0	33	43	0	126	21	0	33.71667	126.35000	33|43|00	126|21|00
20140111	20140111 8:39	부산	항계내	화재	화기취급부주의	어선	양호	부산 감천항 34번선석 사조물류센터 계류선박 폴라프린세스호	1	30	0	0	0	35	2	71	129	0	86	35.05306	129.02389	35|02|71	129|00|86
20140111	20140111 10:40	완도	영해	키손상	정비불량	어선	양호	전라남도 완도군 청산면 모도리 불근도 동방 약 300미터 해상	1	3	0	0	0	34	9	2	126	55	4	34.15056	126.91778	34|9|2	126|55|4
20140111	20140111 15:03	여수	영해	화재	정비불량	어선	양호	경남 남해군 남면 홍현리 앞 해상	1	1	1	0	0	34	44	0	127	55	0	34.73333	127.91667	34|44|00	127|55|00
20140111	20140111 15:08	포항	영해	충돌	운항부주의	낚시어선	양호	감포항 남방 0.3해리	2	16	0	0	0	35	47	0	129	30	0	35.78333	129.50000	35|47|00	129|30|00
20140112	20140112 8:30	서귀포	영해	안전저해	운항부주의	어선	양호	서귀포 남동방 11해리(33-06.00N 126-43.00E)	1	4	0	0	0	33	6	0	126	43	0	33.10000	126.71667	33|06|00	126|43|00
20140112	20140112 8:30	서귀포	영해-EEZ	인명사상	기타	어선	양호	서귀포 남동방 28해리(32-50N 126-50E)	1	8	0	0	0	32	50	0	126	50	0	32.83333	126.83333	32|50|00	126|50|00
20140112	20140112 19:30	울산	항계내	해양오염	관리소홀	유조선	양호	울산 장생포 호안 진성호	1	0	0	0	0	35	30	0	129	22	0	35.50000	129.36667	35|30|00	129|22|00
20140112	20140112 22:00	서귀포	영해-EEZ	안전저해	운항부주의	어선	황천5급	우도 남동방 47해리(33-04N, 127-46E)	1	10	0	0	0	33	4	0	127	46	0	33.06667	127.76667	33|04|00	127|46|00
20140113	20140113 1:06	통영	영해	기관손상	정비불량	낚시어선	양호	통영시 한산면 가익도 북방 약 100m 해상	1	10	0	0	0	34	38	43	128	31	51	34.64528	128.53083	34|38|43	128|31|51
20140113	20140113 5:00	통영	영해	추진기손상	운항부주의	어선	양호	통영시 한산면 가익도 북방 약 100미터 해상	1	4	0	0	0	34	38	43	128	31	51	34.64528	128.53083	34|38|43	128|31|51
